cell_id,lat_center,lon_center,threshold,horizon,horizon_years,n_events_above_threshold,exposure_years,expected_rate_per_year,expected_count,probability_at_least_one,probability_ci_lower,probability_ci_upper,low_statistics,notes
cell_01_02,21.5,90.5,5.0,1y,1.0,0,51.859,0.0,0.0,0.0,9e-06,0.047284,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_01_03,21.5,91.5,5.0,1y,1.0,1,51.859,0.019283,0.019283,0.019098,0.002078,0.086191,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_04,21.5,92.5,5.0,1y,1.0,2,51.859,0.038566,0.038566,0.037832,0.007982,0.116378,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_05,21.5,93.5,5.0,1y,1.0,18,51.859,0.347097,0.347097,0.293264,0.191952,0.415342,False,
cell_01_06,21.5,94.5,5.0,1y,1.0,18,51.859,0.347097,0.347097,0.293264,0.191952,0.415342,False,
cell_01_07,21.5,95.5,5.0,1y,1.0,3,51.859,0.05785,0.05785,0.056208,0.016161,0.143061,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_02_00,22.5,88.5,5.0,1y,1.0,0,51.859,0.0,0.0,0.0,9e-06,0.047284,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_02_01,22.5,89.5,5.0,1y,1.0,0,51.859,0.0,0.0,0.0,9e-06,0.047284,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_02_02,22.5,90.5,5.0,1y,1.0,0,51.859,0.0,0.0,0.0,9e-06,0.047284,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_02_03,22.5,91.5,5.0,1y,1.0,0,51.859,0.0,0.0,0.0,9e-06,0.047284,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_02_04,22.5,92.5,5.0,1y,1.0,15,51.859,0.289248,0.289248,0.251173,0.155577,0.371885,False,
cell_02_05,22.5,93.5,5.0,1y,1.0,14,51.859,0.269965,0.269965,0.236594,0.143344,0.356502,False,
cell_02_06,22.5,94.5,5.0,1y,1.0,45,51.859,0.867744,0.867744,0.580102,0.473326,0.683385,False,
cell_02_07,22.5,95.5,5.0,1y,1.0,25,51.859,0.48208,0.48208,0.382502,0.273657,0.503481,False,
cell_03_00,23.5,88.5,5.0,1y,1.0,0,51.859,0.0,0.0,0.0,9e-06,0.047284,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_03_01,23.5,89.5,5.0,1y,1.0,0,51.859,0.0,0.0,0.0,9e-06,0.047284,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_03_02,23.5,90.5,5.0,1y,1.0,2,51.859,0.038566,0.038566,0.037832,0.007982,0.116378,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_03_03,23.5,91.5,5.0,1y,1.0,3,51.859,0.05785,0.05785,0.056208,0.016161,0.143061,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_03_04,23.5,92.5,5.0,1y,1.0,8,51.859,0.154266,0.154266,0.142956,0.070335,0.252551,False,
cell_03_05,23.5,93.5,5.0,1y,1.0,31,51.859,0.597779,0.597779,0.449968,0.339071,0.567069,False,
cell_03_06,23.5,94.5,5.0,1y,1.0,67,51.859,1.291974,1.291974,0.725272,0.63569,0.804065,False,
cell_03_07,23.5,95.5,5.0,1y,1.0,12,51.859,0.231398,0.231398,0.206577,0.118821,0.324226,False,
cell_04_00,24.5,88.5,5.0,1y,1.0,0,51.859,0.0,0.0,0.0,9e-06,0.047284,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_04_01,24.5,89.5,5.0,1y,1.0,0,51.859,0.0,0.0,0.0,9e-06,0.047284,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_04_02,24.5,90.5,5.0,1y,1.0,2,51.859,0.038566,0.038566,0.037832,0.007982,0.116378,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_04_03,24.5,91.5,5.0,1y,1.0,4,51.859,0.077133,0.077133,0.074233,0.0257,0.167573,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_04_04,24.5,92.5,5.0,1y,1.0,15,51.859,0.289248,0.289248,0.251173,0.155577,0.371885,False,
cell_04_05,24.5,93.5,5.0,1y,1.0,25,51.859,0.48208,0.48208,0.382502,0.273657,0.503481,False,
cell_04_06,24.5,94.5,5.0,1y,1.0,66,51.859,1.272691,1.272691,0.719923,0.629454,0.799787,False,
cell_04_07,24.5,95.5,5.0,1y,1.0,35,51.859,0.674912,0.674912,0.490799,0.380069,0.604424,False,
cell_05_00,25.5,88.5,5.0,1y,1.0,2,51.859,0.038566,0.038566,0.037832,0.007982,0.116378,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_05_01,25.5,89.5,5.0,1y,1.0,1,51.859,0.019283,0.019283,0.019098,0.002078,0.086191,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_05_02,25.5,90.5,5.0,1y,1.0,7,51.859,0.134982,0.134982,0.126269,0.05859,0.232819,False,
cell_05_03,25.5,91.5,5.0,1y,1.0,9,51.859,0.173549,0.173549,0.159324,0.082289,0.271486,False,
cell_05_04,25.5,92.5,5.0,1y,1.0,5,51.859,0.096416,0.096416,0.091914,0.036121,0.190505,False,
cell_05_05,25.5,93.5,5.0,1y,1.0,3,51.859,0.05785,0.05785,0.056208,0.016161,0.143061,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_05_06,25.5,94.5,5.0,1y,1.0,14,51.859,0.269965,0.269965,0.236594,0.143344,0.356502,False,
cell_05_07,25.5,95.5,5.0,1y,1.0,30,51.859,0.578496,0.578496,0.439259,0.328491,0.557134,False,
cell_06_00,26.5,88.5,5.0,1y,1.0,3,51.859,0.05785,0.05785,0.056208,0.016161,0.143061,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_06_01,26.5,89.5,5.0,1y,1.0,1,51.859,0.019283,0.019283,0.019098,0.002078,0.086191,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_06_02,26.5,90.5,5.0,1y,1.0,5,51.859,0.096416,0.096416,0.091914,0.036121,0.190505,False,
cell_06_03,26.5,91.5,5.0,1y,1.0,6,51.859,0.115699,0.115699,0.109257,0.047145,0.212184,False,
cell_06_04,26.5,92.5,5.0,1y,1.0,24,51.859,0.462797,0.462797,0.370479,0.262316,0.491889,False,
cell_06_05,26.5,93.5,5.0,1y,1.0,13,51.859,0.250681,0.250681,0.22173,0.131086,0.340626,False,
cell_06_06,26.5,94.5,5.0,1y,1.0,2,51.859,0.038566,0.038566,0.037832,0.007982,0.116378,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_06_07,26.5,95.5,5.0,1y,1.0,10,51.859,0.192832,0.192832,0.175379,0.094387,0.289704,False,
cell_07_00,27.5,88.5,5.0,1y,1.0,20,51.859,0.385664,0.385664,0.320001,0.215813,0.442281,False,
cell_07_01,27.5,89.5,5.0,1y,1.0,2,51.859,0.038566,0.038566,0.037832,0.007982,0.116378,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_07_02,27.5,90.5,5.0,1y,1.0,2,51.859,0.038566,0.038566,0.037832,0.007982,0.116378,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_07_03,27.5,91.5,5.0,1y,1.0,9,51.859,0.173549,0.173549,0.159324,0.082289,0.271486,False,
cell_07_04,27.5,92.5,5.0,1y,1.0,29,51.859,0.559213,0.559213,0.428341,0.31778,0.546945,False,
cell_07_05,27.5,93.5,5.0,1y,1.0,1,51.859,0.019283,0.019283,0.019098,0.002078,0.086191,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_07_06,27.5,94.5,5.0,1y,1.0,2,51.859,0.038566,0.038566,0.037832,0.007982,0.116378,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_07_07,27.5,95.5,5.0,1y,1.0,1,51.859,0.019283,0.019283,0.019098,0.002078,0.086191,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
